lines	15882
Files	2
BTB 02399	['n1(c(nc2c(c1=O)cccc2)S)NC(=O)c1cnccc1']	-7.138	-5.546
RF 04154	['n1c(c2c(C(F)(F)F)cc[nH+]c2)noc1c1ccccc1']	-7.64	-6.122
CD 09023	['C(=O)(N([C@H](C(=O)OCC)C)Cc1ccccc1)Nc1ccc(Cl)cc1']	-5.948	-5.957
BTB 12453	['S(=O)(=O)(c1cc2c(c3c(C2)cc(S(=O)(=O)OCCC(C)C)cc3)cc1)OCCC(C)C']	-6.464	-6.307
HTS 07099	['c1(C(=O)N2CCC(C(=O)[O-])CC2)cc2c(nsn2)cc1']	-6.366	-5.265
HTS 13253	['C1(=Cc2c(nn(c2)c2ccccc2)c2sccc2)C(=O)N(C(=O)N(C1=O)C)C']	-4.347	-6.842
HTS 13251	['C1(=Cc2c(CC1)cccc2)[NH+]1CC[C@@H](Cc2ccccc2)CC1']	-6.793	-4.897
S 07583	['C([C@H](NC(=O)Cc1c2c(ccc1)cccc2)C(=O)[O-])C(=O)[O-]']	-6.139	-5.377
NRB 02689	['c1(cc(=S)c2c(o1)cccc2)c1ccccc1']	-6.858	-6.854
RJC 00027	['C\\1(=N\\C(=N)N)/NC(=O)CS1']	-5.698	-4.664
RJC 00021	['n1(c(=S)[nH]nc1C)/N=C\\c1cc(c(c(c1)OC)OC)OC']	-6.352	-6.222
KM 01806	['C(=C\\Nc1noc(c1)C)(/C(=O)c1sccc1)\\C#N']	-6.76	-5.962
RJC 02873	['c1(n2c(nc1c1ccccc1)cccc2)Sc1c(C(=O)OC)cccc1']	-5.757	-5.638
KM 01804	['C(=C\\Nc1noc(c1)C)(/C(=O)c1ccc(cc1)Cl)\\C#N']	-7.187	-6.143
SEW 05144	['c1(NC(=O)C[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)c(F)cccc1F']	-6.031	-5.956
SEW 05146	['C(=S)(Nc1c(cc(C(F)(F)F)cc1)Cl)N1CCSCC1']	-6.816	-6.774
RJC 02878	['C1(=O)[C@@H]2C[C@H](C(=O)[O-])C[C@@H]1CC=C2']	-5.3	-5.912
RJF 01866	['c1(nn(nn1)CC(=O)NNS(=O)(=O)C)c1c(C(F)(F)F)cccc1']	-7.698	-7.284
CD 03335	['n1c(scc1c1cc([N+](=O)[O-])ccc1)NNC(=O)c1c(Cl)cccc1']	-6.517	-6.817
RJC 01992	['C(=O)(N[C@H](C(=O)N[C@@H](C(=O)[O-])Cc1ccccc1)C)OC(C)(C)C']	-5.372	-4.759
XBX 00236	['n1(c(=O)ccc(c1)Cl)CC(=O)OCC']	-6.713	-6.539
SPB 08323	['C(=O)(N1CC[NH+](c2ccc(C#N)cc2)CC1)c1sccc1']	-5.597	-4.85
KM 05130	['S1(=O)(=O)/C(=C/N=[S@@](=O)(c2ccc(cc2)Cl)C)/C(=O)c2c(N1C)ccs2']	-5.592	-4.903
KM 09447	['c1(C(=O)N/N=C/c2ccccc2)cc(C#CCCCC)cnc1']	-4.785	-5.441
KM 09446	['S(=O)(=O)(c1c2c(non2)ccc1)N(Cc1occc1)CCC#N']	-6.497	-5.114
KM 09445	['S(=O)(=O)(c1sc(cc1)c1nc(ncc1)SC)N(Cc1occc1)CCC#N']	-8.341	-6.013
KM 09442	['n1(c(=O)c(c(nc1N)C)C)C']	-7.357	-7.104
RDR 02117	['C(=[NH2+])(Nc1cc(c(cc1C)C)C)NN']	-5.871	-5.27
KM 09440	['[C@@]1(C(F)(F)F)(CC(=NO1)c1sccc1)O']	-6.074	-5.497
KM 08712	['N12C(=O)NC(=O)[C@@H]1CSC2']	-5.799	-6.385
KM 08714	['N(C(=O)/C(=N/Nc1ccccc1)/C#N)C(=O)OCC']	-3.987	-3.368
HTS 04777	['c1(c(c(nn1C)C(F)(F)F)c1ccccc1)NS(=O)(=O)C']	-6.915	-6.162
BTB 02580	['c1(c(cc(cc1OC)CCC(=O)NNC(=S)Nc1ccc(F)cc1)OC)OC']	-6.491	-6.019
RDR 01132	['S(=O)(=O)(NNC(=S)Nc1cc(c(cc1OC)Cl)OC)c1ccc(cc1)C']	-6.491	-5.072
RDR 01646	['c1(c(cc(cc1OC)CCC(=O)[O-])OC)OC']	-5.551	-5.677
SPB 02982	['n1c(noc1C)c1ccc(Oc2ncc(C(F)(F)F)cc2)cc1']	-6.198	-5.468
RDR 01642	['C(=[NH+]\\c1c(F)cccc1)(/NC(=[NH2+])NN)\\N']	-6.54	-7.04
KM 07150	['S1(=O)(=O)N(c2c(c3c1cnc(n3)SCC(=O)C(C)(C)C)c(c(s2)C)C)C']	-5.866	-6.299
HTS 03595	['c1(c(C(=O)NCc2cc3c(OCO3)cc2)cccn1)Oc1ccccc1']	-7.031	-6.738
HTS 03594	['c1(c(n(nc1)c1ccccc1)CCC)C(=O)NCc1cc2c(OCO2)cc1']	-6.418	-7.477
HTS 03597	['C(Oc1ccc(C(=O)NCc2cc3c(OCO3)cc2)cc1)(F)(F)F']	-6.218	-5.197
HTS 03596	['c1(C(=O)NCc2cc3c(OCO3)cc2)c(ccs1)Br']	-7.12	-7.028
HTS 03591	['c12c3c(sc1nc[nH]c2=O)CC[N@H+](C3)Cc1ccccc1']	-7.076	-6.554
RH 01530	['C(=O)(N1CCC(c2c(OC)cccc2)CC1)c1ccc(cc1)OC']	-7.162	-5.608
RH 01533	['C(C(=O)[O-])[C@H](c1ccccc1)[NH3+]']	-5.207	-4.732
RH 01532	['c1(C(=O)NNC(=O)CSCc2c3c(ccc2)cccc3)c(Cl)cccc1']	-6.081	-6.148
HTS 03599	['C(=O)(c1c(Oc2ccccc2)[nH+]ccc1)Oc1c(cccc1)[NH+]1CCOCC1']	-5.622	-5.061
AW 00231	['N1(c2c(C(F)(F)F)ccc[nH+]2)C(=S)NCC1']	-6.294	-6.716
GK 00384	['C(=O)(NC(=O)Nc1nn(cc1)C)c1c(F)cccc1F']	-4.967	-5.628
KM 03891	['C1(=CC(=S)SC(C1)(C)C)[NH+]1CCCCC1']	-6.66	-5.988
GK 00380	['c1(c(NC(=O)NC(=O)c2c(Cl)cccc2Cl)ccs1)C(=O)OC']	-5.452	-4.884
SCR 01179	['S(=O)(=O)(c1c[nH+]c(N2CCOCC2)cc1)NCc1c(noc1C)c1ccccc1']	-5.767	-4.645
