[21094, 'chrM', '0', '620', 'Pol2_peaks.bed']
[9585, 'chrM', '0', '16399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[21095, 'chrM', '2762', '2916', 'Pol2_peaks.bed']
[21096, 'chrM', '3083', '3924', 'Pol2_peaks.bed']
[21097, 'chrM', '9746', '9993', 'Pol2_peaks.bed']
[16173, 'chr2', '10200', '12199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[21098, 'chrM', '11222', '11362', 'Pol2_peaks.bed']
[13139, 'chr5', '11800', '12399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13140, 'chr5', '13000', '13599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[21099, 'chrM', '13913', '14026', 'Pol2_peaks.bed']
[21100, 'chrM', '15076', '15364', 'Pol2_peaks.bed']
[21101, 'chrM', '15428', '16553', 'Pol2_peaks.bed']
[4278, 'chr17', '29600', '32199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16174, 'chr2', '43800', '48399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13141, 'chr5', '51000', '56199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14187, 'chr4', '52600', '57399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15086, 'chr4', '53163', '53386', 'Pol2_peaks.bed']
[15950, 'chr5', '53823', '53967', 'Pol2_peaks.bed']
[4279, 'chr17', '64800', '65799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8200, 'chr17', '65573', '65746', 'Pol2_peaks.bed']
[8201, 'chr17', '66019', '66112', 'Pol2_peaks.bed']
[4321, 'chr12', '66830', '66994', 'Pol2_peaks.bed']
[15951, 'chr5', '82286', '82556', 'Pol2_peaks.bed']
[7386, 'chr16', '84333', '84426', 'Pol2_peaks.bed']
[13142, 'chr5', '91200', '94399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4322, 'chr12', '92800', '92897', 'Pol2_peaks.bed']
[10844, 'chr7', '94000', '97599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5468, 'chr16', '102600', '105199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7387, 'chr16', '103062', '103250', 'Pol2_peaks.bed']
[7388, 'chr16', '103495', '103673', 'Pol2_peaks.bed']
[7389, 'chr16', '103828', '104000', 'Pol2_peaks.bed']
[14188, 'chr4', '106600', '108399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9239, 'chr18', '107200', '109599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9346, 'chr18', '108150', '108477', 'Pol2_peaks.bed']
[9347, 'chr18', '108814', '108959', 'Pol2_peaks.bed']
[9348, 'chr18', '109163', '109382', 'Pol2_peaks.bed']
[9240, 'chr18', '111200', '111799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3377, 'chr10', '119600', '120399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10845, 'chr7', '120800', '121999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5469, 'chr16', '121000', '123799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[3378, 'chr10', '121800', '122799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14189, 'chr4', '123600', '126599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15087, 'chr4', '124309', '124726', 'Pol2_peaks.bed']
[5470, 'chr16', '127400', '129199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10846, 'chr7', '148200', '150599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[18384, 'chr7', '149022', '149175', 'Pol2_peaks.bed']
[18385, 'chr7', '149228', '149695', 'Pol2_peaks.bed']
[11143, 'chr2', '151992', '152165', 'Pol2_peaks.bed']
[4280, 'chr17', '154000', '155399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8202, 'chr17', '154350', '154529', 'Pol2_peaks.bed']
[9241, 'chr18', '157800', '161399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9349, 'chr18', '158499', '158659', 'Pol2_peaks.bed']
[3379, 'chr10', '179400', '183399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[2280, 'chr10', '181181', '181277', 'Pol2_peaks.bed']
[2281, 'chr10', '182041', '182148', 'Pol2_peaks.bed']
[2282, 'chr10', '182201', '182314', 'Pol2_peaks.bed']
[5471, 'chr16', '186600', '189199', 'accepted_hits_noDupl-W200-G400.scoreisland']
